t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.989999999999959,0,gate,0,1
3.289999999999932,1,gate,1,0
4.309999999999911,2,gate,1,0
6.099999999999873,3,gate,0,1
6.419999999999865,4,gate,0,1
8.169999999999828,5,gate,0,1
9.5199999999998,6,gate,1,0
10.779999999999774,7,gate,0,1
12.509999999999735,8,gate,0,1
12.959999999999724,9,gate,0,1
14.649999999999805,0,gate,1,0
16.830000000000144,2,gate,0,1
18.90000000000047,8,gate,1,0
19.21000000000052,4,gate,1,0
20.92000000000079,5,gate,0,1
24.020000000001268,7,gate,1,0
25.84000000000155,8,gate,0,1
26.200000000001612,9,gate,0,1
