t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,network_used
-1.9,13.686561,-11.46395,2.6923556,0.1962395,-0.42359665,-0.79851466,-0.38003963,-9.628292,-0.47101304,0.840685,4.042264,-3.9046279999999998,-0.9866343000000001,12.116800660847238,5.999999660844059,-5.999999848858743,-2.603464877332106,9.447805,-0.75708187,-3.111256,0.2431694,0
-1.89,13.590291,-11.468138,2.7006295,0.17426117,-0.4313706,-0.7913587,-0.3966153,-9.624523,-0.36700000000000005,0.81392825,4.295147,-4.1797266,-1.0612948,12.116800660847238,5.999999660844059,-5.999999848858743,-2.603464877332106,9.447805,-0.75708187,-3.111256,0.2431694,0
-1.8800000000000001,13.494095999999999,-11.471300999999999,2.7086296,0.15072607,-0.43912983,-0.7830215,-0.41391279999999997,-9.613559,-0.26614293,0.78583616,4.539013,-4.4423733,-1.1350129,12.116800660847238,5.999999660844059,-5.999999848858743,-2.603464877332106,9.447805,-0.75708187,-3.111256,0.2431694,0
-1.87,13.398045999999999,-11.473472000000001,2.7163427,0.12570786,-0.44677925,-0.7733899999999999,-0.43180272,-9.595221,-0.16817066,0.75674284,4.7656517,-4.684872599999999,-1.2069951,15.144165619092236,5.422724846688927,-5.999999618736732,-2.551179349734892,11.318503,-0.56026244,-2.9268193,0.31079575,0
-1.8599999999999999,13.302248,-11.47455,2.7238502999999996,0.0994841,-0.45402107,-0.7625,-0.45006815,-9.562521,-0.048018157,0.7447851,4.867751,-4.8902555,-1.2729546,15.144165619092236,5.422724846688927,-5.999999618736732,-2.551179349734892,11.318503,-0.56026244,-2.9268193,0.31079575,0
-1.85,13.206826999999999,-11.4744425,2.7312374,0.07235269999999999,-0.46060598,-0.75040925,-0.46850073,-9.519855999999999,0.06916262,0.73255855,4.9539485,-5.063593,-1.3356775,15.144165619092236,5.422724846688927,-5.999999618736732,-2.551179349734892,11.318503,-0.56026244,-2.9268193,0.31079575,0
-1.84,13.111884,-11.473181,2.7384999,0.04448452,-0.46649525,-0.7370769,-0.48695037,-9.467199,0.18258673,0.71982616,5.0267243,-5.209884,-1.3953226,14.974447964781312,3.2741870780945463,-4.964172341661224,-1.008805450744352,12.348844999999999,-0.612169,-2.0923486000000002,0.29229066,0
-1.83,13.017513000000001,-11.470813,2.7456264,0.016672112,-0.47125074,-0.72297436,-0.50492823,-9.405393,0.29025885,0.70539904,4.7535157,-5.171258,-1.3763561000000002,14.974447964781312,3.2741870780945463,-4.964172341661224,-1.008805450744352,12.348844999999999,-0.612169,-2.0923486000000002,0.29229066,0
-1.82,12.923807,-11.467394,2.752605,-0.01044335,-0.47458429999999996,-0.7085802,-0.5220865,-9.334399000000001,0.39280403,0.690121,4.522905000000001,-5.138703,-1.3583204,14.974447964781312,3.2741870780945463,-4.964172341661224,-1.008805450744352,12.348844999999999,-0.612169,-2.0923486000000002,0.29229066,0
-1.81,12.830853,-11.462976,2.7594258999999997,-0.03692878,-0.47666472,-0.69387305,-0.53848565,-9.254881,0.48967767,0.67392176,4.3282495,-5.111264,-1.3411696000000002,14.974447964781312,3.2741870780945463,-4.964172341661224,-1.008805450744352,12.348844999999999,-0.612169,-2.0923486000000002,0.29229066,0
-1.8,12.738736,-11.457621000000001,2.76608,-0.06284195,-0.47763202,-0.6788320999999999,-0.55417067,-9.167474,0.5803999,0.65672386,4.1639433,-5.0881376,-1.3248605,13.722961368567764,1.8313576048886355,-3.2740669570483942,-0.7432940402031946,11.705376,-0.9154215,-1.0811026000000001,0.42938843,0
-1.79,12.64749,-11.451426,2.7725232,-0.08747052,-0.47759917,-0.66379386,-0.56888086,-9.080745,0.65755117,0.6317792,3.8005114,-4.8048496,-1.2963228,13.722961368567764,1.8313576048886355,-3.2740669570483942,-0.7432940402031946,11.705376,-0.9154215,-1.0811026000000001,0.42938843,0
-1.7799999999999998,12.557139999999999,-11.4444895,2.778712,-0.110264525,-0.47671488,-0.64909315,-0.5824625,-8.988176,0.72863185,0.6058268,3.4937057,-4.5658035,-1.2691854999999999,13.722961368567764,1.8313576048886355,-3.2740669570483942,-0.7432940402031946,11.705376,-0.9154215,-1.0811026000000001,0.42938843,0
-1.77,12.467742999999999,-11.436873,2.7846365,-0.13149078,-0.47512513,-0.6346986,-0.59508306,-8.890528999999999,0.79367375,0.5788731,3.2347037999999997,-4.3640885,-1.2433798,13.722961368567764,1.8313576048886355,-3.2740669570483942,-0.7432940402031946,11.705376,-0.9154215,-1.0811026000000001,0.42938843,0
-1.7599999999999998,12.379344999999999,-11.428637,2.7902862999999996,-0.15137714,-0.47294430000000004,-0.6205724,-0.606876,-8.788461,0.85272753,0.55093235,3.0160577,-4.1938743999999994,-1.2188405,13.722961368567764,1.8313576048886355,-3.2740669570483942,-0.7432940402031946,11.69244,-1.2116803999999999,0.8389136999999999,0.52286476,0
-1.75,12.291986999999999,-11.419839,2.795652,-0.17011741,-0.47026193,-0.60667443,-0.61794806,-8.682544,0.9058530999999999,0.5220217,2.83148,-4.050241000000001,-1.1955053,13.722961368567764,1.8313576048886355,-3.2740669570483942,-0.7432940402031946,11.69244,-1.2116803999999999,0.8389136999999999,0.52286476,0
-1.7399999999999998,12.205706,-11.410539,2.8007232999999996,-0.18787585,-0.46714836,-0.59296536,-0.6283845,-8.573278,0.9531132999999999,0.49215788,2.6756627999999996,-3.9290369,-1.1733149999999999,13.722961368567764,1.8313576048886355,-3.2740669570483942,-0.7432940402031946,11.69244,-1.2116803999999999,0.8389136999999999,0.52286476,0
-1.73,12.120532,-11.400796000000001,2.8054917,-0.20479132,-0.46365893,-0.5794076,-0.63825357,-8.461113000000001,0.9945705,0.46135506,2.5441246,-3.8267589999999996,-1.1522138000000002,13.722961368567764,1.8313576048886355,-3.2740669570483942,-0.7432940402031946,11.69244,-1.2116803999999999,0.8389136999999999,0.52286476,0
-1.72,12.036491999999999,-11.390667,2.8099475,-0.22098085,-0.45983726,-0.56596667,-0.64760995,-8.346446,1.0302844,0.42962414,2.4330827999999998,-3.7404516000000005,-1.1321481000000002,12.62276338883258,0.2808543469513945,-1.3138382693267805,-0.3482937818212877,12.428738000000001,-1.7671316000000004,2.3147545,0.84954494,0
-1.71,11.953563,-11.380221,2.8140552000000003,-0.23572446,-0.4558759,-0.55311286,-0.65625983,-8.239023,1.0579549,0.3917382,2.097808,-3.3617222,-1.0936841999999998,12.62276338883258,0.2808543469513945,-1.3138382693267805,-0.3482937818212877,12.428738000000001,-1.7671316000000004,2.3147545,0.84954494,0
-1.7,11.8717165,-11.369525,2.81778,-0.24847779,-0.45196557,-0.54125994,-0.66409576,-8.13007,1.080835,0.35311416,1.8147556,-3.0421104,-1.0571077,12.62276338883258,0.2808543469513945,-1.3138382693267805,-0.3482937818212877,12.428738000000001,-1.7671316000000004,2.3147545,0.84954494,0
-1.69,11.790965,-11.358621000000001,2.8211155,-0.25956595,-0.4481263,-0.5302927,-0.6712656,-8.019958500000001,1.0993699,0.31387055,1.5757933000000002,-2.7723868,-1.022326,12.62276338883258,0.2808543469513945,-1.3138382693267805,-0.3482937818212877,12.428738000000001,-1.7671316000000004,2.3147545,0.84954494,0
-1.68,11.711319999999999,-11.347551,2.8240557,-0.26926120000000003,-0.44436592,-0.52010405,-0.67788535,-7.9089837,1.1139476000000001,0.2741165,1.3740548000000001,-2.5447626,-0.9892511,12.102952896176891,-1.838890903513448,0.9746420568292851,0.3656974102362654,13.514185000000001,-2.4365002999999996,3.3079047,0.75371885,0
-1.67,11.632764,-11.336357000000001,2.8265842999999995,-0.27678326,-0.44085,-0.5112872,-0.68383265,-7.8019905,1.1245145,0.23158696,0.87343925,-1.9955518,-0.9227634,12.102952896176891,-1.838890903513448,0.9746420568292851,0.3656974102362654,13.514185000000001,-2.4365002999999996,3.3079047,0.75371885,0
-1.66,11.555280999999999,-11.325071000000001,2.828687,-0.28154197,-0.43772984,-0.5043326,-0.6890390000000001,-7.694689299999999,1.1323558,0.18891734,0.45079544,-1.5320784,-0.85953826,12.102952896176891,-1.838890903513448,0.9746420568292851,0.3656974102362654,13.514185000000001,-2.4365002999999996,3.3079047,0.75371885,0
-1.65,11.47887,-11.313717,2.830363,-0.28399688,-0.43497333,-0.49899858,-0.6936452,-7.5873137,1.1381799,0.14635558,0.093984544,-1.1409525,-0.7994155,12.102952896176891,-1.838890903513448,0.9746420568292851,0.3656974102362654,13.514185000000001,-2.4365002999999996,3.3079047,0.75371885,0
-1.64,11.403533,-11.302313,2.831615,-0.2845287,-0.43253988,-0.49506766,-0.6977535,-7.480036699999999,1.1425916,0.10411449,-0.2072437,-0.81087697,-0.7422430999999999,13.139695166050089,-4.050389790391822,3.2568418860171127,0.5839960456967499,13.024992,-2.7277353,4.219142,-0.4534718,0
-1.63,11.329314,-11.290867,2.8324711,-0.2823953,-0.43058,-0.49300724,-0.70128226,-7.363834,1.1464752,0.067226656,-0.8062643,-0.1762618,-0.67716414,13.139695166050089,-4.050389790391822,3.2568418860171127,0.5839960456967499,13.024992,-2.7277353,4.219142,-0.4534718,0
