t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.979999999999959,0,gate,0,1
3.289999999999932,1,gate,1,0
4.3199999999999115,2,gate,1,0
6.099999999999873,3,gate,0,1
6.419999999999865,4,gate,0,1
8.169999999999828,5,gate,0,1
9.5099999999998,6,gate,1,0
10.739999999999773,7,gate,0,1
12.519999999999735,8,gate,0,1
12.969999999999724,9,gate,0,1
16.80000000000014,2,gate,0,1
19.080000000000496,8,gate,0,1
19.25000000000052,4,gate,1,0
25.87000000000156,8,gate,0,1
26.230000000001613,9,gate,0,1
