time-since-start [s],position_x [m],position_y [m],position_z [m],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],acceleration_x [m/s/s],acceleration_y [m/s/s],acceleration_z [m/s/s],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],euler_x [rad],euler_y [rad],euler_z [rad],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],drone_velocity_x [m/s],drone_velocity_y [m/s],drone_velocity_z [m/s],drone_acceleration_x [m/s/s],drone_acceleration_y [m/s/s],drone_acceleration_z [m/s/s],drone_omega_x [rad],drone_omega_y [rad],drone_omega_z [rad],flipped
0.0,19.27523002624512,-9.437621116638184,2.0794935226440447,-10.215750694274902,-3.4086873531341566,0.6234132051467901,6.234450340270995,-3.66909456253052,-9.295069694519045,0.0421231606195718,0.3786128764065201,-0.2716069906435473,-0.8838029032494491,0.7355459332466128,0.7027996222125457,-2.7656826972961426,0.9627760648727416,0.03339559212327,-0.1546526551246645,7.803441047668457,-4.5536417961120605,-5.895714282989503,0.0982390567660331,8.689332962036133,-3.76947021484375,0.7227482795715332,0.5010152459144592,0.4226724803447723,0
0.0019626617431569,19.25665054321289,-9.443788528442385,2.080618858337404,-10.21852970123291,-3.3922121524810787,0.6189654469490056,6.226830959320068,-3.6923902034759526,-9.325987815856934,0.0414113166423808,0.378344009632911,-0.2720624523234589,-0.8838115948914576,0.7358649373054504,0.7026427427874968,-2.767226457595825,0.9624319076538086,0.0313512049615383,-0.1562876701354982,7.805535316467285,-4.551496982574463,-5.889442920684815,0.154937669634819,8.721221923828125,-3.7400155067443848,0.7242591977119446,0.4988889098167419,0.4222626090049744,0
0.0039823055267333,19.2380672454834,-9.449926376342772,2.0817360877990736,-10.22128677368164,-3.375699281692505,0.6145153045654301,6.319692611694335,-3.7332360744476327,-9.184388160705566,0.0406998143601487,0.3780763235212214,-0.2725189241997742,-0.8838185643313472,0.7361893057823182,0.7024882475482386,-2.768766164779663,0.96208655834198,0.0293096639215946,-0.1579258739948275,7.807599544525146,-4.549328804016113,-5.883211135864258,0.0283181630074977,8.741950988769531,-3.61858344078064,0.7257694005966187,0.4967621862888336,0.421852707862854,0
0.0059654712677001,19.21947822570801,-9.45603370666504,2.082845211029054,-10.224029541015623,-3.3591430187225337,0.6100696325302128,6.181762695312499,-3.769663810729982,-9.315983772277832,0.0399887821688508,0.3778101674575929,-0.2729766361084705,-0.883823585793693,0.7365201115608214,0.7023366133319301,-2.77030086517334,0.9616554379463196,0.0269434079527854,-0.1595175564289095,7.809629440307617,-4.547138690948486,-5.877035617828369,0.1484322547912597,8.792572975158691,-3.806235074996948,0.7272800803184509,0.4943206310272217,0.4215770363807678,0
0.0079784393310546,19.182284927368165,-9.468158721923828,2.0850393772125257,-10.22951889038086,-3.326243162155152,0.6012481451034549,6.170854091644286,-3.736604213714601,-9.344621658325195,0.0385670712479162,0.3772830628582334,-0.2738948566950312,-0.8838278559604675,0.7371986508369447,0.7020443121539519,-2.773357629776001,0.961028516292572,0.0220852717757224,-0.1628022640943529,7.813677787780763,-4.54302453994751,-5.864759922027588,0.1531789451837539,8.769859313964844,-3.842854499816896,0.7305554747581482,0.4894334077835083,0.4211597442626953,0
0.0099546909332417,19.163680648803712,-9.474176406860352,2.086124658584596,-10.232264518737791,-3.30989933013916,0.5968720316886906,6.200378417968749,-3.6569161415100098,-9.39837646484375,0.0378563838504955,0.3770219646906324,-0.2743558971921231,-0.8838270045763961,0.7375475168228152,0.7019031683551238,-2.7748794555664062,0.9608349800109864,0.0195965692400932,-0.1644953340291979,7.81569242477417,-4.541104793548584,-5.858656406402588,0.1741028279066085,8.670867919921875,-3.824083805084229,0.7323206067085266,0.4869915246963501,0.421018123626709,0
0.0119948387145996,19.14507064819336,-9.480164527893066,2.0872018337249774,-10.23498821258545,-3.293517827987672,0.5924928188323979,6.127102851867675,-3.6507718563079847,-9.318719863891602,0.0371457780656846,0.3767626788463977,-0.2748179587128917,-0.883824170618376,0.7379022836685182,0.7017658392535613,-2.776396989822388,0.9606401920318604,0.01711100153625,-0.1661922633647921,7.8176727294921875,-4.539167881011963,-5.852595329284668,0.1841093897819519,8.665617942810059,-3.83549427986145,0.7340850830078125,0.4845495522022247,0.4208765327930449,0
0.0139966011047292,19.126456832885747,-9.486123085021973,2.0882711410522465,-10.237689018249512,-3.277098655700684,0.5881103873252873,6.127498626708984,-3.5529482364654545,-9.356733322143556,0.0364352604839004,0.3765050118643889,-0.2752813234628973,-0.883819348502273,0.7382634282112123,0.7016318480121058,-2.7779102325439453,0.9604450464248656,0.0146284867078065,-0.1678938865661623,7.81961727142334,-4.537213325500488,-5.8465752601623535,0.2202271819114685,8.579010009765625,-3.8027646541595455,0.7358500957489014,0.4821078479290009,0.4207349121570587,0
0.0159649848938059,19.126456832885747,-9.486123085021973,2.0882711410522465,-10.237689018249512,-3.277098655700684,0.5881103873252873,6.127498626708984,-3.5529482364654545,-9.356733322143556,0.0364352604839004,0.3765050118643889,-0.2752813234628973,-0.883819348502273,0.7382634282112123,0.7016318480121058,-2.7779102325439453,0.9604450464248656,0.0146284867078065,-0.1678938865661623,7.81961727142334,-4.537213325500488,-5.8465752601623535,0.2202271819114685,8.579010009765625,-3.8027646541595455,0.7358500957489014,0.4821078479290009,0.4207349121570587,0
0.017975330352776,19.126456832885747,-9.486123085021973,2.0882711410522465,-10.237689018249512,-3.277098655700684,0.5881103873252873,6.127498626708984,-3.5529482364654545,-9.356733322143556,0.0364352604839004,0.3765050118643889,-0.2752813234628973,-0.883819348502273,0.7382634282112123,0.7016318480121058,-2.7779102325439453,0.9604450464248656,0.0146284867078065,-0.1678938865661623,7.81961727142334,-4.537213325500488,-5.8465752601623535,0.2202271819114685,8.579010009765625,-3.8027646541595455,0.7358500957489014,0.4821078479290009,0.4207349121570587,0
