t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.989999999999959,0,gate,0,1
3.289999999999932,1,gate,0,1
4.3199999999999115,2,gate,1,0
6.099999999999873,3,gate,0,1
6.429999999999866,4,gate,0,1
8.20999999999983,5,gate,0,1
9.5299999999998,6,gate,1,0
10.749999999999773,7,gate,0,1
12.499999999999735,8,gate,0,1
12.949999999999724,9,gate,0,1
14.56999999999979,0,gate,1,0
16.820000000000146,2,gate,0,1
18.98000000000048,8,gate,1,0
19.270000000000525,4,gate,1,0
20.880000000000773,5,gate,1,0
22.340000000001005,6,gate,1,0
25.850000000001554,8,gate,0,1
26.200000000001612,9,gate,0,1
