t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.979999999999959,0,gate,0,1
3.2799999999999314,1,gate,1,0
4.309999999999911,2,gate,1,0
6.089999999999873,3,gate,0,1
6.419999999999865,4,gate,0,1
8.189999999999829,5,gate,0,1
9.5199999999998,6,gate,1,0
10.759999999999774,7,gate,0,1
12.519999999999735,8,gate,0,1
12.949999999999724,9,gate,0,1
14.719999999999814,0,gate,0,1
18.790000000000447,3,gate,1,0
19.120000000000502,4,gate,0,1
20.950000000000788,5,gate,0,1
24.120000000001287,7,gate,0,1
26.180000000001613,9,gate,1,0
