time-since-start [s],throttle,roll,pitch,yaw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m],velocity_y [m],velocity_z [m],network_used
0.0,0.5000005223006093,-5.999999658264779,-5.999999860503768,5.999995686594466,-0.7065824866294861,1.8399144411087036,2.67277193069458,0.27277079224586487,-0.41633141040802,0.05168206989765167,0.8657905459403992,-7.92290735244751,9.085355758666992,0.40607595443725586,0
0.016666666666666666,0.5000005223006093,-5.999999658264779,-5.999999860503768,5.999995686594466,-0.838678933864219,1.9913560646332977,2.678223752581748,0.21030345465562306,-0.3825763345609229,0.015421998173391512,0.8995387825691851,-7.9286511428567845,9.087461255628462,0.24822438064836574,0
0.03333333333333333,0.5000005223006093,-5.999999658264779,-5.999999860503768,5.999995686594466,-0.9708698010173182,2.1428239102412,2.681048672832667,0.14625982770278934,-0.3459537308052525,-0.02095366615583473,0.9265446977848417,-7.934204856251504,9.08850472621818,0.0908396403099544,0
0.05,8.38341565631104,-5.999999538063738,-5.9999997664893066,3.645152589707821,-1.1031502965596875,2.294300481392809,2.6812540284871846,0.08111993810838193,-0.3067380968458571,-0.057172276276920724,0.9466058739426403,-7.9393751013266005,9.088515890004732,-0.06613369091460995,0
0.06666666666666667,8.38341565631104,-5.999999538063738,-5.9999997664893066,3.645152589707821,-1.236132132874478,2.445662925026082,2.6797418415749323,0.033976289666741176,-0.26433356054151946,-0.09903026356397482,0.9587316838309525,-8.01666502290486,9.072334347765482,-0.11450508301522651,0
0.08333333333333333,8.38341565631104,-5.999999538063738,-5.9999997664893066,3.645152589707821,-1.3703069373388272,2.5966266834746685,2.677459852880167,-0.013368491421851656,-0.22036422392375182,-0.14030201205804338,0.9651819993313433,-8.082169465392223,9.040875173045563,-0.15880080883000544,0
0.09999999999999999,8.38341565631104,-5.999999538063738,-5.9999997664893066,3.645152589707821,-1.5054610120742418,2.746948185149828,2.6744612114973005,-0.06063413379065528,-0.1750903764222476,-0.18074320149631595,0.9659186359026685,-8.133866288406312,8.995522767143976,-0.20080690604944876,0
0.11666666666666665,17.75016054253774,-5.999999358479913,-5.999999637666708,-2.1698617360882224,-1.641349616128536,2.8964097203405648,2.670768788290158,-0.10754083455787253,-0.12878002990283663,-0.22011442835477243,0.960937232807923,-8.170059820761004,8.937990024770633,-0.24236354864792387,0
0.13333333333333333,17.75016054253774,-5.999999358479913,-5.999999637666708,-2.1698617360882224,-1.7779113211139692,3.0442061971903445,2.667499202393746,-0.1073233479199828,-0.07108408286847162,-0.2644869152165194,0.9557591108630035,-8.21137420846131,8.794129669849811,-0.15097042901983262,0
0.15,17.75016054253774,-5.999999358479913,-5.999999637666708,-2.1698617360882224,-1.9148634980243353,3.1894374573120348,2.665687570706168,-0.10653440739949241,-0.013009641536923333,-0.3074511150882506,0.9454919540965033,-8.216967486593308,8.630498009435726,-0.0683676502208024,0
0.16666666666666666,19.993311857796634,-4.314418209452614,-5.999999326073332,-2.3335635574684575,-2.051615453371332,3.3317918119927894,2.665140078964607,-0.10517821378898075,0.04513407093000802,-0.3487782607976266,0.9301904310098331,-8.187524564473994,8.449301446719568,-0.00019092981138769255,0
0.18333333333333332,19.993311857796634,-4.314418209452614,-5.999999326073332,-2.3335635574684575,-2.1875373563206004,3.4708116718044573,2.6658163570654776,-0.1026878933631328,0.10207382196352924,-0.3753391743683663,0.9155089785316634,-8.117179111074929,8.231586086930154,0.07827612041747928,0
0.19999999999999998,19.993311857796634,-4.314418209452614,-5.999999326073332,-2.3335635574684575,-2.321996060172027,3.6061342415265902,2.6676347742219835,-0.099769429742311,0.15858799008918034,-0.400335162337353,0.8970104359734591,-8.012287445359101,8.00599590520508,0.13614306119956654,0
0.21666666666666665,16.074314978025164,0.6175370376442192,-2.523689459110453,-4.071166115839178,-2.454434704070089,3.737647071447243,2.670216874584448,-0.09643499106336281,0.214440947174859,-0.42366200733484477,0.8747719304906595,-7.875211617608307,7.774805345462782,0.1692585657537376,0
0.2333333333333333,16.074314978025164,0.6175370376442192,-2.523689459110453,-4.071166115839178,-2.5846403340670756,3.8656803913920563,2.6728972956906496,-0.07669783160552392,0.2465327424006335,-0.4095176558030771,0.8750053675817863,-7.747795303840662,7.590131389042722,0.15212325699211307,0
0.24999999999999997,16.074314978025164,0.6175370376442192,-2.523689459110453,-4.071166115839178,-2.7126392719827708,3.9906824847847053,2.675276134704254,-0.05683645572431601,0.27822526407638126,-0.3947100675481114,0.873821684593834,-7.610431540947392,7.411042292225626,0.13291567564366993,0
0.26666666666666666,11.964185559280086,1.9408657493895347,1.4480381499450714,-3.4071851401629143,-2.8382670538804375,4.112745539302538,2.677311244037791,-0.03688303002762766,0.309467184392597,-0.3792632242864219,0.8712227985675337,-7.463290211700113,7.237424883513198,0.1107253874635001,0
0.2833333333333333,11.964185559280086,1.9408657493895347,1.4480381499450714,-3.4071851401629143,-2.9617203066785973,4.232318168331461,2.6786785031696456,-0.012557482465114598,0.3089384479390703,-0.35660493537236815,0.8816078035311787,-7.351549657250179,7.1118557855553455,0.05447578280626098,0
0.3,10.168393829693406,2.022040678843761,2.4848474866892274,-2.828067644245481,-3.0833332269222167,4.34982762050781,2.6791642283662744,0.011783300565284184,0.3080348893971694,-0.33351399261580167,0.8909231906461843,-7.242421883882887,6.989926002119484,0.0049075789085184715,0
