t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,network_used
-2.0,18.534008,-9.471707,2.1169748,0.38699266,-0.2633276,-0.8833873,0.02284832,-10.956827,-4.3283760000000004,0.55791456,1.4621271999999998,-0.13551906,-0.22049215,9.056360699912672,5.999999669998201,-5.9999999176737235,-4.477015763979561,12.144726,-0.95312405,-3.077512,-0.9916976999999999,0
-1.99,18.423876,-9.5146265,2.1225185,0.38655558,-0.26914677,-0.881926,0.018476753000000002,-11.069297,-4.255103,0.5504595999999999,1.425974,-0.3064289,-0.36285618,9.056360699912672,5.999999669998201,-5.9999999176737235,-4.477015763979561,11.712093,-4.057367299999999,-5.3453946,0.69921535,0
-1.98,18.312632,-9.556807000000001,2.1279767000000005,0.38553283,-0.27460572,-0.8807834000000001,0.013297528999999999,-11.1793785,-4.180857700000001,0.54084647,1.4205424,-0.47579792,-0.5004788,9.056360699912672,5.999999669998201,-5.9999999176737235,-4.477015763979561,11.712093,-4.057367299999999,-5.3453946,0.69921535,0
-1.97,18.2003,-9.598239999999999,2.1333287,0.3839284,-0.27983309999999995,-0.87990886,0.0072739897,-11.286853,-4.105685,0.52925384,1.4414314,-0.6442616,-0.63362753,9.056360699912672,5.999999669998201,-5.9999999176737235,-4.477015763979561,11.712093,-4.057367299999999,-5.3453946,0.69921535,0
-1.96,18.086906,-9.638916,2.1385555,0.38174040000000004,-0.28493738,-0.8792525,0.00037597724999999997,-11.391509,-4.0295987,0.5158376,1.4848367,-0.8122646,-0.76254857,9.056360699912672,5.999999669998201,-5.9999999176737235,-4.477015763979561,7.060192,-3.3239767999999996,-5.317712,-0.0861744,0
-1.95,17.972479999999997,-9.678827,2.1436396,0.37896198,-0.29000917,-0.87876475,-0.007420758299999999,-11.493138,-3.9525894999999998,0.50073403,1.5474653,-0.98010015,-0.88746893,9.056360699912672,5.999999669998201,-5.9999999176737235,-4.477015763979561,7.060192,-3.3239767999999996,-5.317712,-0.0861744,0
-1.94,17.857056,-9.717964,2.1485646000000003,0.37558237,-0.29512355,-0.8783960999999999,-0.01613505,-11.591536,-3.8746347,0.484062,1.626465,-1.1479414,-1.0085979999999999,9.056360699912672,5.999999669998201,-5.9999999176737235,-4.477015763979561,7.060192,-3.3239767999999996,-5.317712,-0.0861744,0
-1.93,17.740664000000002,-9.756316,2.1533158,0.37158754,-0.3003417,-0.8780962,-0.025780732,-11.6865,-3.7957044,0.46592543,1.7193621,-1.3158675,-1.1261287,9.056360699912672,5.999999669998201,-5.9999999176737235,-4.477015763979561,7.060192,-3.3239767999999996,-5.317712,-0.0861744,0
-1.92,17.623339,-9.793875,2.1578784,0.36696082,-0.3057125,-0.8778138000000001,-0.036366962,-11.777827,-3.7157676,0.44641516,1.8240107,-1.4838862,-1.2402395,10.924097415457787,5.999999807447206,-5.999999947428933,-4.386911859796393,9.051039,-3.1676462000000005,-6.6889167,0.89945537,0
-1.91,17.505081,-9.830592,2.162274,0.36153713,-0.31140566,-0.87750363,-0.04800824,-11.873088000000001,-3.6275861000000003,0.43248630000000005,2.0015116,-1.7150294999999998,-1.3523028999999998,10.924097415457787,5.999999807447206,-5.999999947428933,-4.386911859796393,9.051039,-3.1676462000000005,-6.6889167,0.89945537,0
-1.9,17.385893,-9.866423,2.1665227000000002,0.35516003,-0.3175619,-0.87710804,-0.06080457,-11.963714,-3.538331,0.41709682,2.1824048,-1.9412508999999998,-1.4616476999999999,10.924097415457787,5.999999807447206,-5.999999947428933,-4.386911859796393,9.051039,-3.1676462000000005,-6.6889167,0.89945537,0
-1.89,17.265823,-9.901355,2.1706107000000006,0.34782228,-0.32417232,-0.87655365,-0.07473722,-12.049417,-3.4479172,0.40033603,2.3657255,-2.1628795,-1.5683681,10.924097415457787,5.999999807447206,-5.999999947428933,-4.386911859796393,9.051039,-3.1676462000000005,-6.6889167,0.89945537,0
-1.8800000000000001,17.144922,-9.935378,2.1745248,0.33951402,-0.33122113,-0.8757635,-0.08978397,-12.129916,-3.3562977,0.3822771,2.5506496,-2.3801825,-1.6725526999999998,10.924097415457787,5.999999807447206,-5.999999947428933,-4.386911859796393,9.051039,-3.1676462000000005,-6.6889167,0.89945537,0
-1.87,17.023243,-9.968478,2.178252,0.33022338,-0.33868632,-0.8746572,-0.105918854,-12.204936,-3.263466,0.3629779,2.7364740000000003,-2.5933785,-1.7742856,14.038969358689373,5.999999896006178,-5.999999970613872,-4.101085973352657,11.185024,-0.6846416,-7.333098,0.050944652,0
-1.8599999999999999,16.900793,-10.000579,2.1818337000000003,0.31962284,-0.34677979999999997,-0.8731429,-0.12331449,-12.283696,-3.156529,0.3531428,3.0464783,-2.926816,-1.8706985,14.038969358689373,5.999999896006178,-5.999999970613872,-4.101085973352657,11.185024,-0.6846416,-7.333098,0.050944652,0
-1.85,16.777592000000002,-10.031605,2.1853093999999995,0.30740559999999995,-0.35566390000000003,-0.87109613,-0.1421144,-12.355191,-3.0485580000000003,0.34172702,3.3459458,-3.2461064,-1.9657627,14.038969358689373,5.999999896006178,-5.999999970613872,-4.101085973352657,11.185024,-0.6846416,-7.333098,0.050944652,0
-1.84,16.653713,-10.061546,2.188663,0.29358864,-0.36523518,-0.8683815,-0.1622424,-12.418979,-2.9395785,0.32878405,3.6354012000000004,-3.5523322,-2.0594444,17.690786123325825,5.999999933835106,-5.999999981292327,-3.3852799959596385,12.41558,0.11641214,-7.601808500000001,-0.34548274,0
-1.83,16.529188,-10.090292999999999,2.1919568,0.27791065,-0.37557316,-0.8648461,-0.18371654,-12.485072,-2.8090305,0.33007398,4.003481,-3.9347072,-2.1245036,17.690786123325825,5.999999933835106,-5.999999981292327,-3.3852799959596385,12.41558,0.11641214,-7.601808500000001,-0.34548274,0
-1.82,16.404045,-10.117714999999999,2.1952658,0.26027113,-0.38662708,-0.8603284999999999,-0.20643033,-12.542159,-2.6746266,0.33179793,4.314220400000001,-4.2573915,-2.1863704,17.690786123325825,5.999999933835106,-5.999999981292327,-3.3852799959596385,12.41558,0.11641214,-7.601808500000001,-0.34548274,0
-1.81,16.27838,-10.143774,2.1985938999999997,0.24090768,-0.39812574,-0.85469145,-0.23013502,-12.589255999999999,-2.5366487999999996,0.33385235,4.576556,-4.529699,-2.2452012999999997,17.690786123325825,5.999999933835106,-5.999999981292327,-3.3852799959596385,12.41558,0.11641214,-7.601808500000001,-0.34548274,0
-1.8,16.152298000000002,-10.168436999999999,2.2019433999999998,0.22003166,-0.40983668,-0.8478181999999999,-0.25460657,-12.625491,-2.3955572,0.33608204,4.7980328000000005,-4.75949,-2.3011453,20.99999210289123,5.999999947486804,-5.999999984039838,-2.858717666975581,13.190622,-0.38098487,-7.767247,0.05056342,0
-1.79,16.025887,-10.191542,2.2054095,0.19780622,-0.42157543,-0.8396296999999998,-0.27958733,-12.654719,-2.22511,0.35705033,4.9851003,-4.953316,-2.3285055,20.99999210289123,5.999999947486804,-5.999999984039838,-2.858717666975581,13.190622,-0.38098487,-7.767247,0.05056342,0
-1.7799999999999998,15.899254999999998,-10.212932,2.2090838,0.17437802,-0.43318447,-0.83006895,-0.30484313,-12.66942,-2.0525901,0.37770775,5.1430387,-5.116873,-2.3545232000000005,20.99999210289123,5.999999947486804,-5.999999984039838,-2.858717666975581,13.190622,-0.38098487,-7.767247,0.05056342,0
-1.77,15.772551000000002,-10.23259,2.2129617,0.14990625,-0.4445161,-0.81908053,-0.33021352,-12.6690035,-1.8790182,0.3977349,5.276385299999999,-5.2548857,-2.379264,20.99999210289123,5.999999947486804,-5.999999984039838,-2.858717666975581,13.190622,-0.38098487,-7.767247,0.05056342,0
-1.7599999999999998,15.645928,-10.250511999999999,2.2170353,0.124537386,-0.45544422,-0.8066249,-0.35555246,-12.653041,-1.7055193,0.41678350000000003,5.38897,-5.371343,-2.402791,20.99999210289123,5.999999947486804,-5.999999984039838,-2.858717666975581,13.563649,-0.40906945,-6.7268944,0.096922964,0
-1.75,15.519545,-10.266705,2.2212927000000002,0.09840704,-0.46586132,-0.7926770000000001,-0.38072672,-12.621261,-1.5332992,0.43448496,5.4840264,-5.4696107000000005,-2.4251635,20.99999210289123,5.999999947486804,-5.999999984039838,-2.858717666975581,13.563649,-0.40906945,-6.7268944,0.096922964,0
-1.7399999999999998,15.3935585,-10.281187,2.225719,0.07164127,-0.4756758,-0.7772241999999999,-0.40561426,-12.573555,-1.3636215,0.45045805,5.564285,-5.552529,-2.4464382999999996,20.99999210289123,5.999999947486804,-5.999999984039838,-2.858717666975581,13.563649,-0.40906945,-6.7268944,0.096922964,0
-1.73,15.268127999999999,-10.293991,2.230295,0.04435774,-0.4848098,-0.76026535,-0.43010324,-12.509976,-1.1977859,0.46431676,5.632048999999999,-5.622493700000001,-2.4666688,20.99999210289123,5.999999947486804,-5.999999984039838,-2.858717666975581,13.563649,-0.40906945,-6.7268944,0.096922964,0
-1.72,15.143413,-10.305161,2.2349968,0.016666682,-0.49319732,-0.7418089,-0.45409092,-12.4307375,-1.0371073,0.47567677,5.689265,-5.681528599999999,-2.4859068,20.99999951094492,4.4833982549312354,-5.999997918794847,-1.1267213628961297,13.237803,0.053947247999999996,-4.7630706,0.31330106,0
