t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.989999999999959,0,gate,0,1
3.289999999999932,1,gate,1,0
4.309999999999911,2,gate,1,0
6.079999999999872,3,gate,0,1
6.409999999999865,4,gate,0,1
8.17999999999983,5,gate,0,1
9.5299999999998,6,gate,1,0
10.769999999999774,7,gate,0,1
12.529999999999735,8,gate,0,1
12.949999999999724,9,gate,0,1
14.769999999999822,0,gate,0,1
18.78000000000045,3,gate,1,0
19.120000000000502,4,gate,0,1
20.9900000000008,5,gate,1,0
21.78000000000092,0,wall,1,0
24.140000000001287,7,gate,0,1
