t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.989999999999959,0,gate,0,1
3.2799999999999314,1,gate,1,0
4.309999999999911,2,gate,1,0
6.099999999999873,3,gate,0,1
6.419999999999865,4,gate,0,1
8.189999999999829,5,gate,0,1
9.5099999999998,6,gate,1,0
10.759999999999774,7,gate,0,1
12.509999999999735,8,gate,0,1
12.959999999999724,9,gate,0,1
16.780000000000136,2,gate,0,1
20.800000000000765,5,gate,1,0
25.89000000000156,8,gate,0,1
26.250000000001613,9,gate,0,1
