time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
2.4499999999999917,,,,,10.668358,-2.987076,0.9274233,1.1877152,-4.011364,5.222453,2.1544027,0.19099505,-0.19597152,-0.25135836,0.9284044,-9.974025,10.149476,0.3498637,-2.1950803,1.9394735,1.1793242,1
2.4599999999999915,,,,,10.668358,-2.987076,0.9274233,1.1877152,-4.111351,5.3237367,2.1578336,0.18369395,-0.2045941,-0.26313928,0.92474604,-10.023702,10.106884,0.33601695,-2.987076,0.9274233,1.1877152,1
2.4699999999999913,,,,,10.668358,-2.987076,0.9274233,1.1877152,-4.211843,5.424584,2.161116,0.17634141,-0.21315944,-0.27484655,0.92082894,-10.074967,10.0622015,0.32011092,-2.987076,0.9274233,1.1877152,1
2.479999999999991,,,,,10.668358,-2.987076,0.9274233,1.1877152,-4.3128557,5.524974,2.1642284,0.16893955,-0.22166513,-0.28647694,0.9166541,-10.127742,10.015448,0.3020693,-2.987076,0.9274233,1.1877152,1
2.489999999999991,,,,,11.218488,-2.3806121,-0.1499977,0.92301446,-4.414403,5.6248856,2.1671495,0.1614904,-0.2301088,-0.29802713,0.91222274,-10.181945,9.966641,0.2818183,-2.987076,0.9274233,1.1877152,1
2.4999999999999907,,,,,11.218488,-2.3806121,-0.1499977,0.92301446,-4.516513,5.724286,2.1698775,0.15430489,-0.2327034,-0.3079199,0.90951866,-10.23994,9.913184,0.26349166,-2.3806121,-0.1499977,0.92301446,1
2.5099999999999905,,,,,11.218488,-2.3806121,-0.1499977,0.92301446,-4.619203,5.823142,2.172414,0.14709416,-0.23525995,-0.3177623,0.9066658,-10.298165,9.857616,0.24353711,-2.3806121,-0.1499977,0.92301446,1
2.5199999999999902,,,,,11.218488,-2.3806121,-0.1499977,0.92301446,-4.7224765,5.9214315,2.1747427,0.13985938,-0.23777802,-0.32755274,0.9036647,-10.35657,9.799959,0.22191934,-2.3806121,-0.1499977,0.92301446,1
2.52999999999999,,,,,12.625783,-1.3333317,-0.9720618,0.60332274,-4.826335,6.019134,2.1768465,0.13260171,-0.24025722,-0.33728957,0.90051585,-10.415098,9.740237,0.1986041,-2.3806121,-0.1499977,0.92301446,1
2.53999999999999,,,,,12.625783,-1.3333317,-0.9720618,0.60332274,-4.9308147,6.1161914,2.178756,0.12663911,-0.23777267,-0.34319964,0.89980024,-10.4806795,9.670938,0.1831913,-1.3333317,-0.9720618,0.60332274,1
