t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.979999999999959,0,gate,0,1
3.2799999999999314,1,gate,1,0
4.309999999999911,2,gate,1,0
6.099999999999873,3,gate,0,1
6.429999999999866,4,gate,0,1
8.17999999999983,5,gate,0,1
9.5199999999998,6,gate,1,0
10.759999999999774,7,gate,0,1
12.499999999999735,8,gate,0,1
12.939999999999724,9,gate,0,1
14.819999999999832,0,gate,0,1
15.129999999999876,0,wall,1,0
16.170000000000037,0,wall,1,0
18.72000000000044,3,gate,1,0
19.050000000000487,4,gate,1,0
20.970000000000788,5,gate,1,0
21.21000000000083,0,wall,1,0
22.920000000001092,0,wall,1,0
27.860000000001868,0,wall,1,0
