time-since-start [s],position_x [m],position_y [m],position_z [m],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],acceleration_x [m/s/s],acceleration_y [m/s/s],acceleration_z [m/s/s],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],euler_x [rad],euler_y [rad],euler_z [rad],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],drone_velocity_x [m/s],drone_velocity_y [m/s],drone_velocity_z [m/s],drone_acceleration_x [m/s/s],drone_acceleration_y [m/s/s],drone_acceleration_z [m/s/s],drone_omega_x [rad],drone_omega_y [rad],drone_omega_z [rad],flipped
3.923974514007554,-19.16663398742676,8.567551612854004,1.5082962512969955,-9.868464469909668,-6.775745868682861,-1.0449790954589837,9.678112983703612,5.0609421730041495,-18.070743560791016,-0.3600115463307688,-0.195911884991463,-0.4941605495699242,0.7666913140739048,-0.9566238562213346,0.7157915274249476,-2.6466453075408936,-1.1497247219085691,-0.1321166008710861,0.2554132342338565,9.667144775390623,5.00393533706665,-5.088930130004883,-3.2032840251922607,-11.082839012145996,-13.78559684753418,-0.8767163753509521,0.4852120280265808,-0.6328500509262085,0
3.925975799560547,-19.220240020751955,8.530315399169924,1.5026199817657455,-9.807465553283691,-6.85167932510376,-1.0386191606521598,9.50714874267578,5.051823616027831,-17.839094161987305,-0.3624332129867601,-0.1948992592285644,-0.4951899207099496,0.7651427234859679,-0.9578440825091764,0.7170952002154749,-2.64121413230896,-1.138061285018921,-0.126465082168579,0.2657352983951572,9.64601230621338,5.00084400177002,-5.114456653594972,-3.101109027862549,-11.063081741333008,-13.71859073638916,-0.877938449382782,0.4717266261577606,-0.6232931017875671,0
3.927969932556124,-19.23803367614746,8.51781177520752,1.5007352828979483,-9.786993026733398,-6.8768744468688965,-1.0365936756134022,9.691180229187012,5.157859325408936,-17.8525447845459,-0.3632292181939089,-0.1945627889163646,-0.4955376586172704,0.7646255849181621,-0.9582722822772428,0.7175262610064901,-2.639433860778808,-1.1337321996688845,-0.1232218742370605,0.2693904638290408,9.638997077941896,4.9996066093444815,-5.123068332672119,-3.2072901725769043,-11.194612503051758,-13.643599510192873,-0.8786830902099609,0.4671261608600617,-0.6187218427658081,0
3.9299545288085938,-19.255791091918944,8.50526237487793,1.4988542795181263,-9.766446113586426,-6.902095317840576,-1.034575104713439,9.460623741149902,5.009673118591309,-17.74968719482422,-0.3640198680965768,-0.1942277061684552,-0.4958874732556003,0.7641078115394889,-0.9587104956256314,0.7179573217975062,-2.6376686096191406,-1.129520297050476,-0.1202108785510063,0.2730564773082736,9.631997108459473,4.998272895812988,-5.131823539733887,-3.0564751625061035,-11.032308578491213,-13.651829719543455,-0.8794264793395996,0.4625247418880463,-0.6144188046455383,0
3.931937694549561,-19.27351036071777,8.492667198181152,1.496976852416991,-9.74582576751709,-6.9273200035095215,-1.0325746536254876,9.60035514831543,5.093707561492919,-17.75448226928711,-0.364805207961125,-0.1938929650705737,-0.4962394077537092,0.7635896335943997,-0.9591587225543424,0.7183864752398894,-2.63591742515564,-1.125311255455017,-0.1171900033950805,0.276718467473984,9.625008583068848,4.996844291687012,-5.140697956085205,-3.1516363620758057,-11.16538429260254,-13.679498672485352,-0.8801710605621338,0.4579228162765503,-0.6101158857345581,0
3.933925151824951,-19.291191482543944,8.480026245117188,1.495103120803832,-9.725131034851074,-6.95257043838501,-1.030581593513488,9.658392906188965,5.103576183319091,-18.014385223388672,-0.3655853408673088,-0.1935594579086221,-0.4965936207230271,0.7630706852279469,-0.9596174399005338,0.7188156286822718,-2.634181022644043,-1.1212259531021118,-0.1143983453512191,0.2803914248943331,9.61803150177002,4.995326042175293,-5.149716377258301,-3.1280634403228764,-11.1469144821167,-13.699962615966797,-0.8809192180633545,0.4533258974552154,-0.6060813069343567,0
3.935926437377916,-19.30883636474609,8.467340469360353,1.4932328462600697,-9.704660415649414,-6.977273464202881,-1.0286225080490103,9.564516067504885,5.058585643768311,-17.72099494934082,-0.366360610661167,-0.1932263943800398,-0.4969503829556856,0.7625508378797203,-0.9600871245013636,0.7192438284503386,-2.632458209991455,-1.1173630952835083,-0.1116273254156112,0.2842353582382204,9.61107063293457,4.994065761566162,-5.158329486846924,-3.1241109371185303,-11.12030029296875,-13.623499870300291,-0.8819171190261841,0.4487255215644837,-0.6021809577941895,0
3.9379847049713135,-19.32644309997558,8.454609870910645,1.4913661479949942,-9.684114456176758,-7.002025127410889,-1.0266606807708731,9.602354049682615,5.028875350952148,-17.731903076171875,-0.3671310457303276,-0.1928944347184781,-0.4973091711113456,0.7620302622889339,-0.9605663458453578,0.7196720282184051,-2.630748987197876,-1.1139805316925049,-0.1089193001389503,0.2880244553089144,9.604117393493652,4.992726802825928,-5.167100429534912,-3.1363635063171387,-11.079115867614746,-13.55735683441162,-0.883170485496521,0.4444402158260345,-0.5985488295555115,0
3.939975738525391,-19.34401359558105,8.44183349609375,1.4895030260086048,-9.663494110107422,-7.02680253982544,-1.0247071981430045,9.488890647888184,4.931308269500732,-17.894420623779297,-0.367897151808673,-0.1925630750927459,-0.4976706202812893,0.761508438240003,-0.9610565344439898,0.7201002279864709,-2.6290524005889893,-1.1107194423675537,-0.1064415201544761,0.2918265461921694,9.597169876098633,4.99131441116333,-5.176004409790039,-2.9796047210693364,-10.923460960388184,-13.55846881866455,-0.8844258189201355,0.4401583969593048,-0.5951851010322571,0
3.9420244693756095,-19.361545944213866,8.429012298583983,1.4876434803009018,-9.642800331115724,-7.051594734191895,-1.0227677822113028,9.590718269348145,5.025849342346191,-17.815288543701172,-0.3686589215449209,-0.19223268707115,-0.4980343772801327,0.7609855140762745,-0.9615567366229448,0.7205289045916952,-2.627368450164795,-1.1076809167861938,-0.1039836928248405,0.295800566673279,9.590227127075195,4.9898338317871085,-5.1850266456604,-3.0908718109130864,-11.04212474822998,-13.597930908203123,-0.8859313726425171,0.4358730614185333,-0.5919554829597473,0
