t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.989999999999959,0,gate,0,1
3.2799999999999314,1,gate,1,0
4.309999999999911,2,gate,1,0
6.099999999999873,3,gate,0,1
6.429999999999866,4,gate,0,1
8.169999999999828,5,gate,0,1
9.499999999999801,6,gate,1,0
10.749999999999773,7,gate,0,1
12.509999999999735,8,gate,0,1
12.969999999999724,9,gate,0,1
14.6299999999998,0,gate,0,1
16.840000000000146,2,gate,0,1
18.890000000000466,8,gate,1,0
19.200000000000514,4,gate,1,0
20.900000000000784,5,gate,0,1
24.050000000001273,7,gate,1,0
25.850000000001554,8,gate,1,0
26.19000000000161,9,gate,0,1
