t,object-id,object-name,is-collision,is-pass
-0.10999999999999877,8,gate,0,1
0.19999999999999707,9,gate,0,1
1.979999999999959,0,gate,0,1
3.289999999999932,1,gate,1,0
4.309999999999911,2,gate,1,0
6.099999999999873,3,gate,0,1
6.419999999999865,4,gate,0,1
8.17999999999983,5,gate,0,1
9.5099999999998,6,gate,1,0
10.759999999999774,7,gate,0,1
12.529999999999735,8,gate,0,1
12.969999999999724,9,gate,0,1
16.790000000000134,2,gate,0,1
24.050000000001273,7,gate,0,1
25.84000000000155,8,gate,1,0
26.19000000000161,9,gate,0,1
